sys,group
2012bpacad4h,"ICSA, Hungarian Academy of Sciences"
2012bpacad8,"ICSA, Hungarian Academy of Sciences"
ICTNET12ADR1,"ICT, Chinese Academy of Sciences"
ICTNET12ADR2,"ICT, Chinese Academy of Sciences"
ICTNET12ADR3,"ICT, Chinese Academy of Sciences"
irra12a,Mugla University
irra12b,Mugla University
irra12c,Mugla University
QUTparaBline,Queensland Univ ofTech (QUT_Para)
QUTparaTQEg1,Queensland Univ ofTech (QUT_Para)
qutwa,Queensland Univ ofTech (qutirl2)
qutwb,Queensland Univ ofTech (qutirl2)
srchvrs12c09,Srchvrs
lcmweb,University ofAvignon - LIA
lcmweb10p,University ofAvignon - LIA
lcmwebnoW,University ofAvignon - LIA
DMthbCatASP,University of Delaware (udel)
DMthbCatB,University of Delaware (udel)
combMNZCatB,University of Delaware (udel)
uogTrA44s9,Univ of Glasgow (Terrier Team)
uogTrA44xi,Univ of Glasgow (Terrier Team)
uogTrB45aIs,Univ of Glasgow (Terrier Team)
DFalah120A,University of Ottawa
DFalah121A,University of Ottawa
utw2012c2,University of Twente
utw2012fc1,University of Twente
utw2012lm09,University of Twente
