year,group,sys,topic,n,n_u,n_t,avg,avg_t,p_i
2010,University of Ottawa,DFalah2010,51,121,59,62,1.47560975609756,2.69565217391304,0.0656504339589112
2010,University of Ottawa,DFalah2010,52,521,25,496,7.44285714285714,11.0222222222222,0.62232745994294
2010,University of Ottawa,DFalah2010,53,1000,151,849,4.149377593361,9.43333333333333,0.262509531027535
2010,University of Ottawa,DFalah2010,54,1000,136,864,4.67289719626168,11.0769230769231,0.284708773538499
2010,University of Ottawa,DFalah2010,55,1000,23,977,13.5135135135135,19.156862745098,0.812780061042087
2010,University of Ottawa,DFalah2010,56,51,36,15,1.18604651162791,2.14285714285714,0.0854305253856307
2010,University of Ottawa,DFalah2010,57,250,100,150,1.65562913907285,2.94117647058824,0.19761562424149
2010,University of Ottawa,DFalah2010,58,392,36,356,4.55813953488372,7.12,0.487952869451982
2010,University of Ottawa,DFalah2010,59,151,80,71,1.51,3.55,0.0433179142297412
2010,University of Ottawa,DFalah2010,60,1000,24,976,10.5263157894737,13.7464788732394,0.483178045135442
2010,University of Ottawa,DFalah2010,61,1000,14,986,17.2413793103448,22.4090909090909,0.760631255861804
2010,University of Ottawa,DFalah2010,62,4,4,0,1,,0
2010,University of Ottawa,DFalah2010,63,1000,37,963,11.9047619047619,20.4893617021277,0.172558910447782
2010,University of Ottawa,DFalah2010,64,701,20,681,11.1269841269841,15.8372093023256,0.565150069065297
2010,University of Ottawa,DFalah2010,65,961,195,766,2.78550724637681,5.10666666666667,0.159382544041653
2010,University of Ottawa,DFalah2010,66,1000,513,487,1.59235668789809,4.23478260869565,0.0463581255968534
2010,University of Ottawa,DFalah2010,67,9,9,0,1,,0
2010,University of Ottawa,DFalah2010,68,1000,32,968,10.8695652173913,16.1333333333333,0.322415915679612
2010,University of Ottawa,DFalah2010,69,141,58,83,1.7625,3.77272727272727,0.0707040280746965
2010,University of Ottawa,DFalah2010,70,28,12,16,1.47368421052632,2.28571428571429,0.44276747712567
2010,University of Ottawa,DFalah2010,71,551,110,441,2.86979166666667,5.37804878048781,0.247592286546374
2010,University of Ottawa,DFalah2010,72,1000,27,973,15.3846153846154,25.6052631578947,0.649822037210804
2010,University of Ottawa,DFalah2010,73,931,103,828,4.77435897435897,9,0.661875841424668
2010,University of Ottawa,DFalah2010,74,1000,18,982,14.4927536231884,19.2549019607843,0.470769771901328
2010,University of Ottawa,DFalah2010,75,189,20,169,3.85714285714286,5.82758620689655,0.525768416921555
2010,University of Ottawa,DFalah2010,76,100,38,62,1.69491525423729,2.95238095238095,0.230148747502775
2010,University of Ottawa,DFalah2010,77,1000,26,974,12.3456790123457,17.7090909090909,0.527327954434488
2010,University of Ottawa,DFalah2010,78,1000,21,979,16.1290322580645,23.8780487804878,0.446003941264288
2010,University of Ottawa,DFalah2010,79,1000,28,972,12.987012987013,19.8367346938776,0.652632942127772
2010,University of Ottawa,DFalah2010,80,220,87,133,1.73228346456693,3.325,0.14587952140031
2010,University of Ottawa,DFalah2010,81,1000,35,965,10.989010989011,17.2321428571429,0.648966365472759
2010,University of Ottawa,DFalah2010,82,1000,18,982,17.5438596491228,25.1794871794872,0.806919923668116
2010,University of Ottawa,DFalah2010,83,1000,33,967,12.3456790123457,20.1458333333333,0.724456770818286
2010,University of Ottawa,DFalah2010,84,60,26,34,1.66666666666667,3.4,0.19429547326239
