year,group,sys,topic,n,n_u,n_t,avg,avg_t
2014,UMASS_CIIR,CiirAll1,251,1000,971,29,1.02040816326531,3.22222222222222
2014,UMASS_CIIR,CiirAll1,252,1000,919,81,1.04384133611691,2.07692307692308
2014,UMASS_CIIR,CiirAll1,253,1000,965,35,1.02040816326531,2.33333333333333
2014,UMASS_CIIR,CiirAll1,254,1000,916,84,1.05263157894737,2.47058823529412
2014,UMASS_CIIR,CiirAll1,255,1000,958,42,1.02145045965271,2
2014,UMASS_CIIR,CiirAll1,256,1000,890,110,1.0752688172043,2.75
2014,UMASS_CIIR,CiirAll1,257,1000,917,83,1.06044538706257,3.19230769230769
2014,UMASS_CIIR,CiirAll1,258,1000,892,108,1.06951871657754,2.51162790697674
2014,UMASS_CIIR,CiirAll1,259,1000,958,42,1.02249488752556,2.1
2014,UMASS_CIIR,CiirAll1,260,1000,885,115,1.06837606837607,2.25490196078431
2014,UMASS_CIIR,CiirAll1,261,1000,963,37,1.02459016393443,2.84615384615385
2014,UMASS_CIIR,CiirAll1,262,1000,923,77,1.05932203389831,3.66666666666667
2014,UMASS_CIIR,CiirAll1,263,1000,962,38,1.02774922918808,3.45454545454545
2014,UMASS_CIIR,CiirAll1,264,1000,984,16,1.00908173562059,2.28571428571429
2014,UMASS_CIIR,CiirAll1,265,1000,954,46,1.02986611740474,2.70588235294118
2014,UMASS_CIIR,CiirAll1,266,1000,940,60,1.03092783505155,2
2014,UMASS_CIIR,CiirAll1,267,1000,953,47,1.03305785123967,3.13333333333333
2014,UMASS_CIIR,CiirAll1,268,1000,976,24,1.01317122593718,2.18181818181818
2014,UMASS_CIIR,CiirAll1,269,1000,840,160,1.13507377979569,3.90243902439024
2014,UMASS_CIIR,CiirAll1,270,1000,987,13,1.00704934541793,2.16666666666667
2014,UMASS_CIIR,CiirAll1,271,1000,692,308,1.28040973111396,3.46067415730337
2014,UMASS_CIIR,CiirAll1,272,1000,904,96,1.06837606837607,3
2014,UMASS_CIIR,CiirAll1,273,1000,951,49,1.03950103950104,4.45454545454545
2014,UMASS_CIIR,CiirAll1,274,1000,989,11,1.00603621730382,2.2
2014,UMASS_CIIR,CiirAll1,275,1000,962,38,1.02040816326531,2.11111111111111
2014,UMASS_CIIR,CiirAll1,276,1000,942,58,1.04058272632674,3.05263157894737
2014,UMASS_CIIR,CiirAll1,277,1000,993,7,1.00401606425703,2.33333333333333
2014,UMASS_CIIR,CiirAll1,278,1000,950,50,1.03412616339193,2.94117647058824
2014,UMASS_CIIR,CiirAll1,279,1000,944,56,1.02986611740474,2.07407407407407
2014,UMASS_CIIR,CiirAll1,280,1000,967,33,1.0183299389002,2.2
2014,UMASS_CIIR,CiirAll1,281,1000,901,99,1.09170305676856,6.6
2014,UMASS_CIIR,CiirAll1,282,1000,930,70,1.03842159916926,2.12121212121212
2014,UMASS_CIIR,CiirAll1,283,1000,939,61,1.03734439834025,2.44
2014,UMASS_CIIR,CiirAll1,284,1000,990,10,1.00502512562814,2
2014,UMASS_CIIR,CiirAll1,285,1000,971,29,1.01626016260163,2.23076923076923
2014,UMASS_CIIR,CiirAll1,286,1000,974,26,1.01317122593718,2
2014,UMASS_CIIR,CiirAll1,287,1000,914,86,1.07296137339056,4.77777777777778
2014,UMASS_CIIR,CiirAll1,288,1000,990,10,1.00502512562814,2
2014,UMASS_CIIR,CiirAll1,289,1000,994,6,1.00300902708124,2
2014,UMASS_CIIR,CiirAll1,290,1000,983,17,1.00908173562059,2.125
2014,UMASS_CIIR,CiirAll1,291,1000,936,64,1.03626943005181,2.20689655172414
2014,UMASS_CIIR,CiirAll1,292,1000,8,992,32.258064516129,43.1304347826087
2014,UMASS_CIIR,CiirAll1,293,1000,729,271,1.30890052356021,7.74285714285714
2014,UMASS_CIIR,CiirAll1,294,1000,994,6,1.00300902708124,2
2014,UMASS_CIIR,CiirAll1,295,1000,868,132,1.08813928182807,2.58823529411765
2014,UMASS_CIIR,CiirAll1,296,1000,974,26,1.01317122593718,2
2014,UMASS_CIIR,CiirAll1,297,1000,984,16,1.00908173562059,2.28571428571429
2014,UMASS_CIIR,CiirAll1,298,1000,772,228,1.26903553299492,14.25
2014,UMASS_CIIR,CiirAll1,299,1000,965,35,1.02564102564103,3.5
2014,UMASS_CIIR,CiirAll1,300,1000,885,115,1.07758620689655,2.67441860465116
2014,UMASS_CIIR,CiirSdm,251,1000,956,44,1.02669404517454,2.44444444444444
2014,UMASS_CIIR,CiirSdm,252,1000,887,113,1.07066381156317,2.40425531914894
2014,UMASS_CIIR,CiirSdm,253,1000,895,105,1.07066381156317,2.69230769230769
2014,UMASS_CIIR,CiirSdm,254,1000,908,92,1.05263157894737,2.19047619047619
2014,UMASS_CIIR,CiirSdm,255,1000,914,86,1.05042016806723,2.26315789473684
2014,UMASS_CIIR,CiirSdm,256,1000,750,250,1.18203309692671,2.60416666666667
2014,UMASS_CIIR,CiirSdm,257,1000,844,156,1.10741971207087,2.64406779661017
2014,UMASS_CIIR,CiirSdm,258,1000,715,285,1.22249388753056,2.76699029126214
2014,UMASS_CIIR,CiirSdm,259,1000,868,132,1.09409190371991,2.8695652173913
2014,UMASS_CIIR,CiirSdm,260,1000,736,264,1.24069478908189,3.77142857142857
2014,UMASS_CIIR,CiirSdm,261,1000,930,70,1.0482180293501,2.91666666666667
2014,UMASS_CIIR,CiirSdm,262,1000,789,211,1.15740740740741,2.81333333333333
2014,UMASS_CIIR,CiirSdm,263,1000,866,134,1.10253583241455,3.26829268292683
2014,UMASS_CIIR,CiirSdm,264,1000,842,158,1.09289617486339,2.16438356164384
2014,UMASS_CIIR,CiirSdm,265,1000,829,171,1.11358574610245,2.47826086956522
2014,UMASS_CIIR,CiirSdm,266,1000,898,102,1.06269925611052,2.37209302325581
2014,UMASS_CIIR,CiirSdm,267,1000,518,482,1.53846153846154,3.65151515151515
2014,UMASS_CIIR,CiirSdm,268,1000,889,111,1.07296137339056,2.58139534883721
2014,UMASS_CIIR,CiirSdm,269,1000,665,335,1.34952766531714,4.40789473684211
2014,UMASS_CIIR,CiirSdm,270,1000,856,144,1.09529025191676,2.52631578947368
2014,UMASS_CIIR,CiirSdm,271,1000,456,544,1.69204737732657,4.02962962962963
2014,UMASS_CIIR,CiirSdm,272,1000,322,678,2.09643605870021,4.3741935483871
2014,UMASS_CIIR,CiirSdm,273,1000,892,108,1.06496272630458,2.29787234042553
2014,UMASS_CIIR,CiirSdm,274,1000,902,98,1.06723585912487,2.8
2014,UMASS_CIIR,CiirSdm,275,1000,899,101,1.06269925611052,2.4047619047619
2014,UMASS_CIIR,CiirSdm,276,1000,894,106,1.06496272630458,2.35555555555556
2014,UMASS_CIIR,CiirSdm,277,1000,725,275,1.194743130227,2.45535714285714
2014,UMASS_CIIR,CiirSdm,278,1000,814,186,1.12107623318386,2.38461538461538
2014,UMASS_CIIR,CiirSdm,279,1000,817,183,1.11856823266219,2.37662337662338
2014,UMASS_CIIR,CiirSdm,280,1000,926,74,1.05042016806723,2.84615384615385
2014,UMASS_CIIR,CiirSdm,281,1000,912,88,1.04931794333683,2.14634146341463
2014,UMASS_CIIR,CiirSdm,282,1000,816,184,1.11731843575419,2.32911392405063
2014,UMASS_CIIR,CiirSdm,283,1000,842,158,1.1001100110011,2.35820895522388
2014,UMASS_CIIR,CiirSdm,284,1000,914,86,1.0515247108307,2.32432432432432
2014,UMASS_CIIR,CiirSdm,285,1000,898,102,1.06157112526539,2.31818181818182
2014,UMASS_CIIR,CiirSdm,286,1000,891,109,1.06157112526539,2.13725490196078
2014,UMASS_CIIR,CiirSdm,287,1000,554,446,1.62866449511401,7.43333333333333
2014,UMASS_CIIR,CiirSdm,288,1000,937,63,1.03412616339193,2.1
2014,UMASS_CIIR,CiirSdm,289,1000,915,85,1.05263157894737,2.42857142857143
2014,UMASS_CIIR,CiirSdm,290,1000,894,106,1.07642626480086,3.02857142857143
2014,UMASS_CIIR,CiirSdm,291,1000,770,230,1.14678899082569,2.25490196078431
2014,UMASS_CIIR,CiirSdm,292,1000,29,971,29.4117647058824,194.2
2014,UMASS_CIIR,CiirSdm,293,1000,591,409,1.54798761609907,7.43636363636364
2014,UMASS_CIIR,CiirSdm,294,1000,922,78,1.04384133611691,2.16666666666667
2014,UMASS_CIIR,CiirSdm,295,1000,698,302,1.25628140703518,3.08163265306122
2014,UMASS_CIIR,CiirSdm,296,1000,602,398,1.50375939849624,6.31746031746032
2014,UMASS_CIIR,CiirSdm,297,1000,889,111,1.06951871657754,2.41304347826087
2014,UMASS_CIIR,CiirSdm,298,1000,927,73,1.03950103950104,2.08571428571429
2014,UMASS_CIIR,CiirSdm,299,1000,888,112,1.08932461873638,3.73333333333333
2014,UMASS_CIIR,CiirSdm,300,1000,463,537,1.83823529411765,6.62962962962963
2014,UMASS_CIIR,CiirSub1,251,1000,943,57,1.03734439834025,2.71428571428571
2014,UMASS_CIIR,CiirSub1,252,1000,813,187,1.11607142857143,2.25301204819277
2014,UMASS_CIIR,CiirSub1,253,1000,794,206,1.17508813160987,3.6140350877193
2014,UMASS_CIIR,CiirSub1,254,1000,934,66,1.03734439834025,2.2
2014,UMASS_CIIR,CiirSub1,255,1000,799,201,1.11982082866741,2.13829787234043
2014,UMASS_CIIR,CiirSub1,256,1000,851,149,1.10864745011086,2.92156862745098
2014,UMASS_CIIR,CiirSub1,257,1000,835,165,1.14942528735632,4.71428571428571
2014,UMASS_CIIR,CiirSub1,258,1000,895,105,1.06951871657754,2.625
2014,UMASS_CIIR,CiirSub1,259,1000,853,147,1.11856823266219,3.58536585365854
2014,UMASS_CIIR,CiirSub1,260,1000,343,657,2.2883295194508,6.98936170212766
2014,UMASS_CIIR,CiirSub1,261,1000,935,65,1.0482180293501,3.42105263157895
2014,UMASS_CIIR,CiirSub1,262,1000,957,43,1.02354145342886,2.15
2014,UMASS_CIIR,CiirSub1,263,1000,886,114,1.07411385606874,2.53333333333333
2014,UMASS_CIIR,CiirSub1,264,1000,941,59,1.0351966873706,2.36
2014,UMASS_CIIR,CiirSub1,265,1000,920,80,1.04712041884817,2.28571428571429
2014,UMASS_CIIR,CiirSub1,266,1000,879,121,1.09649122807018,3.66666666666667
2014,UMASS_CIIR,CiirSub1,267,1000,959,41,1.02459016393443,2.41176470588235
2014,UMASS_CIIR,CiirSub1,268,1000,943,57,1.03305785123967,2.28
2014,UMASS_CIIR,CiirSub1,269,1000,947,53,1.03092783505155,2.30434782608696
2014,UMASS_CIIR,CiirSub1,270,1000,917,83,1.04602510460251,2.12820512820513
2014,UMASS_CIIR,CiirSub1,271,1000,856,144,1.0989010989011,2.66666666666667
2014,UMASS_CIIR,CiirSub1,272,1000,936,64,1.03950103950104,2.46153846153846
2014,UMASS_CIIR,CiirSub1,273,1000,868,132,1.08695652173913,2.53846153846154
2014,UMASS_CIIR,CiirSub1,274,1000,841,159,1.12739571589628,3.45652173913043
2014,UMASS_CIIR,CiirSub1,275,1000,989,11,1.00704934541793,2.75
2014,UMASS_CIIR,CiirSub1,276,1000,892,108,1.07642626480086,2.91891891891892
2014,UMASS_CIIR,CiirSub1,277,1000,934,66,1.04058272632674,2.44444444444444
2014,UMASS_CIIR,CiirSub1,278,1000,632,368,1.50602409638554,11.5
2014,UMASS_CIIR,CiirSub1,279,1000,848,152,1.10132158590308,2.53333333333333
2014,UMASS_CIIR,CiirSub1,280,1000,863,137,1.09170305676856,2.58490566037736
2014,UMASS_CIIR,CiirSub1,281,1000,833,167,1.12866817155756,3.15094339622642
2014,UMASS_CIIR,CiirSub1,282,1000,788,212,1.14155251141553,2.40909090909091
2014,UMASS_CIIR,CiirSub1,283,1000,981,19,1.01010101010101,2.11111111111111
2014,UMASS_CIIR,CiirSub1,284,1000,813,187,1.16959064327485,4.45238095238095
2014,UMASS_CIIR,CiirSub1,285,1000,925,75,1.04712041884817,2.5
2014,UMASS_CIIR,CiirSub1,286,1000,900,100,1.06951871657754,2.85714285714286
2014,UMASS_CIIR,CiirSub1,287,1000,927,73,1.04166666666667,2.21212121212121
2014,UMASS_CIIR,CiirSub1,288,1000,966,34,1.01729399796541,2
2014,UMASS_CIIR,CiirSub1,289,1000,941,59,1.04384133611691,3.47058823529412
2014,UMASS_CIIR,CiirSub1,290,1000,901,99,1.05820105820106,2.25
2014,UMASS_CIIR,CiirSub1,291,1000,938,62,1.03626943005181,2.2962962962963
2014,UMASS_CIIR,CiirSub1,292,1000,920,80,1.04931794333683,2.42424242424242
2014,UMASS_CIIR,CiirSub1,293,1000,914,86,1.04931794333683,2.20512820512821
2014,UMASS_CIIR,CiirSub1,294,1000,933,67,1.04931794333683,3.35
2014,UMASS_CIIR,CiirSub1,295,1000,855,145,1.08932461873638,2.3015873015873
2014,UMASS_CIIR,CiirSub1,296,1000,785,215,1.15074798619102,2.55952380952381
2014,UMASS_CIIR,CiirSub1,297,1000,761,239,1.17370892018779,2.62637362637363
2014,UMASS_CIIR,CiirSub1,298,1000,948,52,1.03092783505155,2.36363636363636
2014,UMASS_CIIR,CiirSub1,299,1000,884,116,1.0752688172043,2.52173913043478
2014,UMASS_CIIR,CiirSub1,300,1000,868,132,1.08813928182807,2.58823529411765
2014,UMASS_CIIR,CiirSub2,251,1000,947,53,1.03305785123967,2.52380952380952
2014,UMASS_CIIR,CiirSub2,252,1000,778,222,1.16959064327485,2.88311688311688
2014,UMASS_CIIR,CiirSub2,253,1000,787,213,1.17785630153121,3.43548387096774
2014,UMASS_CIIR,CiirSub2,254,1000,932,68,1.03842159916926,2.19354838709677
2014,UMASS_CIIR,CiirSub2,255,1000,869,131,1.07296137339056,2.07936507936508
2014,UMASS_CIIR,CiirSub2,256,1000,851,149,1.10864745011086,2.92156862745098
2014,UMASS_CIIR,CiirSub2,257,1000,850,150,1.13636363636364,5
2014,UMASS_CIIR,CiirSub2,258,1000,899,101,1.06723585912487,2.65789473684211
2014,UMASS_CIIR,CiirSub2,259,1000,843,157,1.12485939257593,3.41304347826087
